日期,腾讯
2024-01-02,288.7
2024-01-03,292.7
2024-01-04,290.9
2024-01-05,284.3
2024-01-08,280.1
2024-01-09,275.7
2024-01-10,272.3
2024-01-11,279.5
2024-01-12,280.5
2024-01-15,281.5
2024-01-16,274.5
2024-01-17,266.7
2024-01-18,269.7
2024-01-19,263.3
2024-01-22,254.3
2024-01-23,264.1
2024-01-24,273.9
2024-01-25,282.9
2024-01-26,274.9
2024-01-29,274.1
2024-01-30,265.9
2024-01-31,262.7
2024-02-01,263.7
2024-02-02,271.5
2024-02-05,271.7
2024-02-06,282.9
2024-02-07,284.3
2024-02-08,279.3
2024-02-09,279.3
2024-02-14,282.1
2024-02-15,277.5
2024-02-16,283.9
2024-02-19,276.9
2024-02-20,276.3
2024-02-21,280.9
2024-02-22,283.5
2024-02-23,282.9
2024-02-26,279.3
2024-02-27,276.7
2024-02-28,269.1
2024-02-29,269.3
2024-03-01,269.5
2024-03-04,268.3
2024-03-05,260.3
2024-03-06,266.7
2024-03-07,263.1
2024-03-08,262.1
2024-03-11,270.7
2024-03-12,282.9
2024-03-13,282.7
2024-03-14,281.3
2024-03-15,275.9
2024-03-18,281.9
2024-03-19,277.1
2024-03-20,280.9
2024-03-21,283.3
2024-03-22,280.9
2024-03-25,280.7
2024-03-26,291.5
2024-03-27,294.1
2024-03-28,295.9
2024-04-02,301.3
2024-04-03,300.5
2024-04-05,302.1
2024-04-08,297.5
2024-04-09,297.1
2024-04-10,306.3
2024-04-11,307.1
2024-04-12,301.7
2024-04-15,296.5
2024-04-16,293.9
2024-04-17,292.9
2024-04-18,296.5
2024-04-19,295.9
2024-04-22,312.5
2024-04-23,324.5
2024-04-24,336.3
2024-04-25,331.5
2024-04-26,340.5
2024-04-29,339.7
2024-04-30,339.3
2024-05-02,352.5
2024-05-03,356.5
2024-05-06,362.3
2024-05-07,357.9
2024-05-08,353.5
2024-05-09,361.9
2024-05-10,363.1
2024-05-13,370.3
2024-05-14,373.9
2024-05-16,389.1
2024-05-17,390.5
2024-05-20,390.5
2024-05-21,379.1
2024-05-22,379.9
2024-05-23,377.3
2024-05-24,372.5
2024-05-27,372.9
2024-05-28,375.7
2024-05-29,366.5
2024-05-30,363.5
2024-05-31,355.3
2024-06-03,370.5
2024-06-04,372.9
2024-06-05,376.3
2024-06-06,377.1
2024-06-07,370.3
2024-06-11,369.3
2024-06-12,366.3
2024-06-13,375.3
2024-06-14,375.3
2024-06-17,376.7
2024-06-18,372.5
2024-06-19,384.5
2024-06-20,383.1
2024-06-21,376.9
2024-06-24,375.9
2024-06-25,377.5
2024-06-26,377.5
2024-06-27,369.9
2024-06-28,367.9
2024-07-02,364.7
2024-07-03,374.9
2024-07-04,377.9
2024-07-05,375.3
2024-07-08,374.1
2024-07-09,376.5
2024-07-10,373.1
2024-07-11,380.3
2024-07-12,392.5
2024-07-15,385.7
2024-07-16,373.5
2024-07-17,367.3
2024-07-18,364.7
2024-07-19,359.5
2024-07-22,368.7
2024-07-23,361.7
2024-07-24,358.7
2024-07-25,346.7
2024-07-26,349.9
2024-07-29,353.7
2024-07-30,349.1
2024-07-31,357.7
2024-08-01,361.1
2024-08-02,353.7
2024-08-05,352.1
2024-08-06,349.9
2024-08-07,358.9
2024-08-08,363.7
2024-08-09,365.5
2024-08-12,370.5
2024-08-13,374.1
2024-08-14,369.3
2024-08-15,363.9
2024-08-16,368.1
2024-08-19,368.1
2024-08-20,365.9
2024-08-21,367.1
2024-08-22,373.3
2024-08-23,371.1
2024-08-26,377.5
2024-08-27,377.3
2024-08-28,369.7
2024-08-29,373.1
2024-08-30,377.5
2024-09-02,373.3
2024-09-03,373.7
2024-09-04,368.3
2024-09-05,368.9
2024-09-09,366.7
2024-09-10,364.1
2024-09-11,365.7
2024-09-12,368.1
2024-09-13,370.3
2024-09-16,373.3
2024-09-17,375.5
2024-09-19,384.3
2024-09-20,384.1
2024-09-23,383.1
2024-09-24,397.7
2024-09-25,400.9
2024-09-26,425.5
2024-09-27,433.3
2024-09-30,440.1
2024-10-02,465.5
2024-10-03,461.7
2024-10-04,473.1
2024-10-07,473.9
2024-10-08,434.1
2024-10-09,429.7
2024-10-10,434.3
2024-10-14,431.5
2024-10-15,412.5
2024-10-16,411.3
2024-10-17,408.1
2024-10-18,426.3
2024-10-21,416.5
2024-10-22,417.1
2024-10-23,423.7
2024-10-24,417.5
2024-10-25,416.5
2024-10-28,412.7
2024-10-29,413.9
2024-10-30,406.5
2024-10-31,400.1
2024-11-01,414.7
2024-11-04,414.5
2024-11-05,423.3
2024-11-06,415.3
2024-11-07,423.9
2024-11-08,416.3
2024-11-11,408.7
2024-11-12,399.3
2024-11-13,399.3
2024-11-14,398.9
2024-11-15,396.5
2024-11-18,399.7
2024-11-19,401.7
2024-11-20,406.3
2024-11-21,403.1
2024-11-22,396.1
2024-11-25,390.7
2024-11-26,389.3
2024-11-27,398.3
2024-11-28,395.5
2024-11-29,393.5
2024-12-02,395.3
2024-12-03,399.9
2024-12-04,398.7
2024-12-05,400.7
2024-12-06,408.1
2024-12-09,414.3
2024-12-10,406.7
2024-12-11,405.3
2024-12-12,411.1
2024-12-13,405.3
2024-12-16,401.1
2024-12-17,398.1
2024-12-18,401.5
2024-12-19,410.7
2024-12-20,421.9
2024-12-23,415.7
2024-12-24,415.5
2024-12-27,412.9
2024-12-30,414.5
2024-12-31,412.5
2025-01-02,411.5
2025-01-03,409.7
2025-01-06,404.9
2025-01-07,375.1
2025-01-08,364.7
2025-01-09,368.9
2025-01-10,365.1
2025-01-13,361.5
2025-01-14,370.5
2025-01-15,375.5
2025-01-16,377.9
2025-01-17,375.3
2025-01-20,385.3
2025-01-21,382.9
2025-01-22,378.9
2025-01-23,376.7
2025-01-24,386.1
2025-01-27,391.1
2025-01-28,396.7
2025-02-03,399.7
2025-02-04,416.3
2025-02-05,413.3
2025-02-06,415.9
2025-02-07,423.7
2025-02-10,432.5
2025-02-11,422.9
2025-02-12,439.7
2025-02-13,437.5
2025-02-14,470.3
2025-02-17,489.1
2025-02-18,499.0
2025-02-19,493.3
2025-02-20,482.3
2025-02-21,512.5
2025-02-24,492.7
2025-02-25,480.3
2025-02-26,497.0
2025-02-27,490.9
2025-02-28,474.1
2025-03-03,478.7
2025-03-04,486.5
2025-03-05,501.0
2025-03-06,539.5
2025-03-07,529.0
2025-03-10,512.0
2025-03-11,513.0
2025-03-12,507.5
2025-03-13,503.0
2025-03-14,517.0
2025-03-17,520.0
2025-03-18,536.5
2025-03-19,535.5
2025-03-20,515.0
2025-03-21,507.0
2025-03-24,508.5
2025-03-25,497.5
2025-03-26,502.0
2025-03-27,504.5
2025-03-28,505.0
2025-03-31,492.5
2025-04-01,499.5
2025-04-02,499.5
2025-04-03,493.3
2025-04-07,430.9
2025-04-08,435.9
2025-04-09,436.7
2025-04-10,440.3
2025-04-11,438.9
2025-04-14,449.5
2025-04-15,451.5
2025-04-16,443.5
2025-04-17,453.5
2025-04-22,455.9
2025-04-23,469.7
2025-04-24,466.5
2025-04-25,473.7
2025-04-28,473.7
2025-04-29,468.5
2025-04-30,472.7
2025-05-02,483.3
2025-05-06,490.9
