日期,中国神华
2024-01-02,21.464
2024-01-03,21.614
2024-01-04,22.164
2024-01-05,22.064
2024-01-08,22.164
2024-01-09,22.464
2024-01-10,22.614
2024-01-11,21.764
2024-01-12,22.364
2024-01-15,22.514
2024-01-16,22.414
2024-01-17,21.764
2024-01-18,21.764
2024-01-19,20.964
2024-01-22,20.614
2024-01-23,21.114
2024-01-24,22.464
2024-01-25,23.514
2024-01-26,23.614
2024-01-29,23.764
2024-01-30,22.914
2024-01-31,23.514
2024-02-01,23.264
2024-02-02,23.714
2024-02-05,23.714
2024-02-06,23.964
2024-02-07,24.464
2024-02-08,23.914
2024-02-09,23.864
2024-02-14,23.714
2024-02-15,23.864
2024-02-16,23.864
2024-02-19,25.114
2024-02-20,24.914
2024-02-21,24.714
2024-02-22,26.264
2024-02-23,25.564
2024-02-26,25.164
2024-02-27,25.214
2024-02-28,25.214
2024-02-29,24.214
2024-03-01,24.514
2024-03-04,25.214
2024-03-05,24.764
2024-03-06,25.164
2024-03-07,25.264
2024-03-08,25.114
2024-03-11,23.864
2024-03-12,24.214
2024-03-13,24.514
2024-03-14,24.564
2024-03-15,24.014
2024-03-18,23.464
2024-03-19,23.714
2024-03-20,23.564
2024-03-21,24.614
2024-03-22,24.064
2024-03-25,24.464
2024-03-26,24.164
2024-03-27,24.364
2024-03-28,24.714
2024-04-02,25.564
2024-04-03,25.564
2024-04-05,25.314
2024-04-08,25.864
2024-04-09,25.814
2024-04-10,26.564
2024-04-11,26.864
2024-04-12,26.264
2024-04-15,26.664
2024-04-16,26.714
2024-04-17,26.564
2024-04-18,26.664
2024-04-19,26.814
2024-04-22,25.614
2024-04-23,25.514
2024-04-24,25.664
2024-04-25,26.064
2024-04-26,25.914
2024-04-29,26.114
2024-04-30,26.664
2024-05-02,26.564
2024-05-03,27.164
2024-05-06,27.514
2024-05-07,27.864
2024-05-08,28.414
2024-05-09,28.364
2024-05-10,30.464
2024-05-13,30.114
2024-05-14,29.514
2024-05-16,29.764
2024-05-17,29.814
2024-05-20,30.214
2024-05-21,30.814
2024-05-22,30.414
2024-05-23,30.614
2024-05-24,30.214
2024-05-27,30.814
2024-05-28,31.614
2024-05-29,32.164
2024-05-30,31.464
2024-05-31,31.914
2024-06-03,32.064
2024-06-04,31.614
2024-06-05,32.014
2024-06-06,33.214
2024-06-07,33.764
2024-06-11,32.564
2024-06-12,33.564
2024-06-13,33.564
2024-06-14,33.564
2024-06-17,32.714
2024-06-18,32.864
2024-06-19,33.864
2024-06-20,34.264
2024-06-21,33.514
2024-06-24,33.514
2024-06-25,33.464
2024-06-26,33.664
2024-06-27,31.605
2024-06-28,32.405
2024-07-02,33.555
2024-07-03,33.705
2024-07-04,34.155
2024-07-05,33.805
2024-07-08,33.505
2024-07-09,32.805
2024-07-10,31.005
2024-07-11,30.855
2024-07-12,30.705
2024-07-15,31.605
2024-07-16,30.705
2024-07-17,30.155
2024-07-18,30.455
2024-07-19,29.555
2024-07-22,29.705
2024-07-23,29.605
2024-07-24,30.205
2024-07-25,29.455
2024-07-26,29.155
2024-07-29,29.355
2024-07-30,28.405
2024-07-31,29.005
2024-08-01,28.555
2024-08-02,28.555
2024-08-05,27.305
2024-08-06,27.455
2024-08-07,28.205
2024-08-08,28.105
2024-08-09,28.255
2024-08-12,28.755
2024-08-13,28.855
2024-08-14,28.955
2024-08-15,30.055
2024-08-16,30.255
2024-08-19,29.955
2024-08-20,29.655
2024-08-21,29.355
2024-08-22,29.555
2024-08-23,29.905
2024-08-26,30.005
2024-08-27,30.905
2024-08-28,30.705
2024-08-29,30.555
2024-08-30,30.155
2024-09-02,29.705
2024-09-03,28.955
2024-09-04,28.355
2024-09-05,28.005
2024-09-09,26.555
2024-09-10,26.355
2024-09-11,26.155
2024-09-12,26.605
2024-09-13,26.855
2024-09-16,26.855
2024-09-17,27.055
2024-09-19,27.605
2024-09-20,28.205
2024-09-23,28.655
2024-09-24,30.555
2024-09-25,31.305
2024-09-26,31.905
2024-09-27,32.155
2024-09-30,31.505
2024-10-02,31.805
2024-10-03,31.855
2024-10-04,32.955
2024-10-07,33.455
2024-10-08,30.205
2024-10-09,29.405
2024-10-10,31.305
2024-10-14,31.255
2024-10-15,31.155
2024-10-16,31.205
2024-10-17,30.605
2024-10-18,31.455
2024-10-21,30.605
2024-10-22,30.905
2024-10-23,30.205
2024-10-24,30.455
2024-10-25,30.055
2024-10-28,30.555
2024-10-29,30.355
2024-10-30,29.605
2024-10-31,30.105
2024-11-01,30.755
2024-11-04,30.305
2024-11-05,30.755
2024-11-06,30.155
2024-11-07,30.955
2024-11-08,29.955
2024-11-11,29.255
2024-11-12,28.805
2024-11-13,28.555
2024-11-14,28.105
2024-11-15,29.705
2024-11-18,30.005
2024-11-19,29.555
2024-11-20,29.755
2024-11-21,29.505
2024-11-22,28.855
2024-11-25,29.005
2024-11-26,28.705
2024-11-27,28.955
2024-11-28,28.255
2024-11-29,28.655
2024-12-02,28.505
2024-12-03,29.155
2024-12-04,30.505
2024-12-05,30.155
2024-12-06,30.355
2024-12-09,31.055
2024-12-10,31.205
2024-12-11,31.555
2024-12-12,31.155
2024-12-13,30.955
2024-12-16,30.455
2024-12-17,30.305
2024-12-18,29.805
2024-12-19,29.655
2024-12-20,28.505
2024-12-23,28.705
2024-12-24,28.955
2024-12-27,29.455
2024-12-30,29.055
2024-12-31,30.055
2025-01-02,29.005
2025-01-03,29.405
2025-01-06,29.355
2025-01-07,28.805
2025-01-08,27.905
2025-01-09,26.905
2025-01-10,27.005
2025-01-13,26.905
2025-01-14,27.305
2025-01-15,27.205
2025-01-16,27.605
2025-01-17,27.605
2025-01-20,27.005
2025-01-21,27.105
2025-01-22,27.105
2025-01-23,27.105
2025-01-24,28.205
2025-01-27,28.305
2025-01-28,27.805
2025-02-03,27.505
2025-02-04,28.155
2025-02-05,27.855
2025-02-06,28.255
2025-02-07,27.555
2025-02-10,27.355
2025-02-11,27.255
2025-02-12,27.455
2025-02-13,27.355
2025-02-14,27.755
2025-02-17,27.455
2025-02-18,27.355
2025-02-19,26.205
2025-02-20,25.755
2025-02-21,24.955
2025-02-24,25.705
2025-02-25,26.005
2025-02-26,26.005
2025-02-27,25.755
2025-02-28,26.105
2025-03-03,26.455
2025-03-04,26.405
2025-03-05,26.905
2025-03-06,26.905
2025-03-07,27.155
2025-03-10,27.355
2025-03-11,27.655
2025-03-12,27.605
2025-03-13,28.205
2025-03-14,28.105
2025-03-17,27.805
2025-03-18,28.105
2025-03-19,28.155
2025-03-20,28.105
2025-03-21,27.805
2025-03-24,28.755
2025-03-25,28.555
2025-03-26,28.455
2025-03-27,28.355
2025-03-28,27.905
2025-03-31,28.005
2025-04-01,28.805
2025-04-02,28.655
2025-04-03,29.055
2025-04-07,26.355
2025-04-08,27.355
2025-04-09,27.355
2025-04-10,26.805
2025-04-11,27.205
2025-04-14,27.455
2025-04-15,27.555
2025-04-16,27.305
2025-04-17,27.505
2025-04-22,27.455
2025-04-23,27.655
2025-04-24,27.455
2025-04-25,27.255
2025-04-28,25.955
2025-04-29,25.855
2025-04-30,25.655
2025-05-02,25.755
2025-05-06,25.905
2025-05-07,26.355
2025-05-08,26.655
2025-05-09,26.955
2025-05-12,28.005
2025-05-13,27.905
2025-05-14,28.755
2025-05-15,28.605
2025-05-16,28.505
2025-05-19,28.655
2025-05-20,29.205
2025-05-21,29.705
2025-05-22,29.055
2025-05-23,29.455
2025-05-26,29.855
2025-05-27,29.705
2025-05-28,30.105
2025-05-29,29.705
2025-05-30,29.605
2025-06-02,28.805
2025-06-03,29.205
2025-06-04,29.805
2025-06-05,29.705
2025-06-06,30.255
2025-06-09,30.055
2025-06-10,30.505
2025-06-11,31.055
2025-06-12,30.605
2025-06-13,31.055
2025-06-16,31.655
2025-06-17,31.555
2025-06-18,31.355
2025-06-19,30.255
2025-06-20,30.805
2025-06-23,31.155
2025-06-24,30.655
2025-06-25,30.655
2025-06-26,29.304
2025-06-27,29.454
2025-06-30,29.354
2025-07-02,30.004
2025-07-03,29.904
2025-07-04,29.954
2025-07-07,29.654
2025-07-08,29.754
2025-07-09,29.604
2025-07-10,29.704
2025-07-11,29.904
2025-07-14,31.504
2025-07-15,31.354
2025-07-16,31.054
2025-07-17,30.804
2025-07-18,31.254
2025-07-21,32.204
2025-07-22,33.804
2025-07-23,33.804
2025-07-24,34.204
2025-07-25,34.054
2025-07-28,33.654
2025-07-29,33.354
2025-07-30,33.654
2025-07-31,32.954
2025-08-01,32.404
2025-08-04,33.864
2025-08-05,34.384
2025-08-06,35.444
2025-08-07,35.664
2025-08-08,35.664
2025-08-11,35.544
2025-08-12,36.644
2025-08-13,36.944
2025-08-14,36.364
2025-08-15,35.824
2025-08-18,34.844
2025-08-19,34.904
2025-08-20,34.764
2025-08-21,34.624
2025-08-22,34.364
2025-08-25,34.824
2025-08-26,34.244
2025-08-27,33.784
2025-08-28,33.424
2025-08-29,33.784
2025-09-01,34.604
2025-09-02,34.144
2025-09-03,34.084
2025-09-04,34.364
2025-09-05,35.144
2025-09-08,35.744
2025-09-09,35.904
2025-09-10,36.464
2025-09-11,36.664
2025-09-12,36.024
2025-09-15,36.904
2025-09-16,37.064
2025-09-17,37.564
2025-09-18,36.824
2025-09-19,37.364
2025-09-22,36.344
2025-09-23,36.284
2025-09-24,36.124
2025-09-25,35.784
2025-09-26,35.844
2025-09-29,36.104
2025-09-30,36.104
2025-10-02,36.644
2025-10-03,36.924
2025-10-06,36.784
2025-10-08,36.724
2025-10-09,37.744
2025-10-10,38.464
2025-10-13,38.304
2025-10-14,38.244
2025-10-15,38.724
2025-10-16,39.884
2025-10-17,39.064
2025-10-20,40.124
2025-10-21,40.024
2025-10-22,39.644
2025-10-23,40.084
2025-10-24,40.104
2025-10-27,40.804
2025-10-28,40.784
2025-10-30,41.74
2025-10-31,40.46
2025-11-03,41.44
2025-11-04,41.26
2025-11-05,41.5
2025-11-06,42.6
2025-11-07,42.8
2025-11-10,43.46
2025-11-11,42.8
2025-11-12,43.74
2025-11-13,42.58
2025-11-14,41.64
2025-11-17,41.74
2025-11-18,40.44
2025-11-19,41.0
2025-11-20,40.42
2025-11-21,39.56
2025-11-24,40.12
2025-11-25,40.08
2025-11-26,39.74
2025-11-27,40.2
2025-11-28,39.82
2025-12-01,40.06
2025-12-02,40.58
2025-12-03,40.64
2025-12-04,40.64
2025-12-05,40.7
2025-12-08,39.52
2025-12-09,39.02
2025-12-10,38.86
2025-12-11,38.88
2025-12-12,38.82
2025-12-15,38.54
2025-12-16,38.44
2025-12-17,38.46
2025-12-18,39.34
2025-12-19,39.68
2025-12-22,39.44
2025-12-23,39.26
2025-12-24,38.86
2025-12-29,38.74
2025-12-30,39.1
2025-12-31,38.8
2026-01-02,39.66
2026-01-05,38.9
2026-01-06,39.74
2026-01-07,39.9
2026-01-08,40.92
2026-01-09,41.06
2026-01-12,41.06
2026-01-13,41.46
2026-01-14,41.58
2026-01-15,41.24
2026-01-16,40.78
2026-01-19,40.58
2026-01-20,40.86
2026-01-21,40.66
2026-01-22,41.38
2026-01-23,40.7
2026-01-26,42.5
2026-01-27,42.02
2026-01-28,43.5
2026-01-29,43.68
2026-01-30,43.02
2026-02-02,40.84
2026-02-03,40.6
2026-02-04,42.9
2026-02-05,42.28
2026-02-06,42.64
2026-02-09,43.82
2026-02-10,44.16
2026-02-11,44.3
2026-02-12,44.02
2026-02-13,42.92
2026-02-16,43.56
