日期,黄金ETF(518880)
2024-01-02,4.666
2024-01-03,4.663
2024-01-04,4.651
2024-01-05,4.664
2024-01-08,4.65
2024-01-09,4.649
2024-01-10,4.631
2024-01-11,4.631
2024-01-12,4.646
2024-01-15,4.673
2024-01-16,4.677
2024-01-17,4.631
2024-01-18,4.616
2024-01-19,4.643
2024-01-22,4.625
2024-01-23,4.632
2024-01-24,4.626
2024-01-25,4.605
2024-01-26,4.625
2024-01-29,4.634
2024-01-30,4.647
2024-01-31,4.653
2024-02-01,4.668
2024-02-02,4.679
2024-02-05,4.643
2024-02-06,4.633
2024-02-07,4.642
2024-02-08,4.662
2024-02-19,4.644
2024-02-20,4.642
2024-02-21,4.642
2024-02-22,4.639
2024-02-23,4.63
2024-02-26,4.651
2024-02-27,4.646
2024-02-28,4.645
2024-02-29,4.647
2024-03-01,4.667
2024-03-04,4.725
2024-03-05,4.789
2024-03-06,4.824
2024-03-07,4.885
2024-03-08,4.881
2024-03-11,4.899
2024-03-12,4.879
2024-03-13,4.87
2024-03-14,4.877
2024-03-15,4.899
2024-03-18,4.86
2024-03-19,4.87
2024-03-20,4.88
2024-03-21,4.978
2024-03-22,4.946
2024-03-25,4.956
2024-03-26,4.966
2024-03-27,4.99
2024-03-28,5.029
2024-03-29,5.126
2024-04-01,5.155
2024-04-02,5.159
2024-04-03,5.231
2024-04-08,5.354
2024-04-09,5.369
2024-04-10,5.388
2024-04-11,5.348
2024-04-12,5.504
2024-04-15,5.417
2024-04-16,5.452
2024-04-17,5.461
2024-04-18,5.445
2024-04-19,5.471
2024-04-22,5.364
2024-04-23,5.232
2024-04-24,5.287
2024-04-25,5.288
2024-04-26,5.329
2024-04-29,5.294
2024-04-30,5.286
2024-05-06,5.254
2024-05-07,5.268
2024-05-08,5.261
2024-05-09,5.25
2024-05-10,5.369
2024-05-13,5.337
2024-05-14,5.329
2024-05-15,5.37
2024-05-16,5.417
2024-05-17,5.416
2024-05-20,5.55
2024-05-21,5.481
2024-05-22,5.492
2024-05-23,5.366
2024-05-24,5.319
2024-05-27,5.338
2024-05-28,5.334
2024-05-29,5.37
2024-05-30,5.317
2024-05-31,5.343
2024-06-03,5.296
2024-06-04,5.346
2024-06-05,5.324
2024-06-06,5.398
2024-06-07,5.399
2024-06-11,5.237
2024-06-12,5.267
2024-06-13,5.269
2024-06-14,5.271
2024-06-17,5.279
2024-06-18,5.284
2024-06-19,5.305
2024-06-20,5.351
2024-06-21,5.376
2024-06-24,5.29
2024-06-25,5.302
2024-06-26,5.271
2024-06-27,5.242
2024-06-28,5.297
2024-07-01,5.299
2024-07-02,5.306
2024-07-03,5.34
2024-07-04,5.365
2024-07-05,5.381
2024-07-08,5.384
2024-07-09,5.362
2024-07-10,5.397
2024-07-11,5.417
2024-07-12,5.446
2024-07-15,5.442
2024-07-16,5.505
2024-07-17,5.576
2024-07-18,5.573
2024-07-19,5.425
2024-07-22,5.421
2024-07-23,5.394
2024-07-24,5.465
2024-07-25,5.327
2024-07-26,5.35
2024-07-29,5.387
2024-07-30,5.394
2024-07-31,5.436
2024-08-01,5.48
2024-08-02,5.505
2024-08-05,5.366
2024-08-06,5.327
2024-08-07,5.352
2024-08-08,5.349
2024-08-09,5.396
2024-08-12,5.437
2024-08-13,5.474
2024-08-14,5.456
2024-08-15,5.443
2024-08-16,5.453
2024-08-19,5.513
2024-08-20,5.513
2024-08-21,5.537
2024-08-22,5.523
2024-08-23,5.504
2024-08-26,5.538
2024-08-27,5.534
2024-08-28,5.528
2024-08-29,5.535
2024-08-30,5.522
2024-09-02,5.491
2024-09-03,5.501
2024-09-04,5.463
2024-09-05,5.502
2024-09-06,5.517
2024-09-09,5.477
2024-09-10,5.513
2024-09-11,5.542
2024-09-12,5.531
2024-09-13,5.611
2024-09-18,5.609
2024-09-19,5.6
2024-09-20,5.663
2024-09-23,5.711
2024-09-24,5.697
2024-09-25,5.74
2024-09-26,5.751
2024-09-27,5.708
2024-09-30,5.707
2024-10-08,5.714
2024-10-09,5.64
2024-10-10,5.676
2024-10-11,5.739
2024-10-14,5.799
2024-10-15,5.799
2024-10-16,5.884
2024-10-17,5.905
2024-10-18,5.945
2024-10-21,6.02
2024-10-22,6.018
2024-10-23,6.056
2024-10-24,5.995
2024-10-25,5.998
2024-10-28,6.017
2024-10-29,6.068
2024-10-30,6.14
2024-10-31,6.103
2024-11-01,6.051
2024-11-04,6.006
2024-11-05,6.006
2024-11-06,5.994
2024-11-07,5.86
2024-11-08,5.898
2024-11-11,5.905
2024-11-12,5.807
2024-11-13,5.796
2024-11-14,5.68
2024-11-15,5.683
2024-11-18,5.758
2024-11-19,5.858
2024-11-20,5.857
2024-11-21,5.933
2024-11-22,6.01
2024-11-25,5.916
2024-11-26,5.844
2024-11-27,5.899
2024-11-28,5.869
2024-11-29,5.923
2024-12-02,5.872
2024-12-03,5.931
2024-12-04,5.929
2024-12-05,5.927
2024-12-06,5.903
2024-12-09,5.936
2024-12-10,5.961
2024-12-11,6.011
2024-12-12,6.052
2024-12-13,6.001
2024-12-16,5.947
2024-12-17,5.94
2024-12-18,5.932
2024-12-19,5.885
2024-12-20,5.892
2024-12-23,5.951
2024-12-24,5.921
2024-12-25,5.936
2024-12-26,5.94
2024-12-27,5.945
2024-12-30,5.923
2024-12-31,5.928
2025-01-02,5.977
2025-01-03,6.029
2025-01-06,5.99
2025-01-07,6.0
2025-01-08,6.03
2025-01-09,6.065
2025-01-10,6.105
2025-01-13,6.12
2025-01-14,6.068
2025-01-15,6.102
2025-01-16,6.122
2025-01-17,6.139
2025-01-20,6.127
2025-01-21,6.127
2025-01-22,6.181
2025-01-23,6.187
2025-01-24,6.218
2025-01-27,6.202
2025-02-05,6.439
2025-02-06,6.402
2025-02-07,6.42
2025-02-10,6.518
2025-02-11,6.584
2025-02-12,6.538
2025-02-13,6.57
2025-02-14,6.605
2025-02-17,6.494
2025-02-18,6.555
2025-02-19,6.598
2025-02-20,6.619
2025-02-21,6.568
2025-02-24,6.581
2025-02-25,6.582
2025-02-26,6.519
2025-02-27,6.492
2025-02-28,6.444
2025-03-03,6.451
2025-03-04,6.499
2025-03-05,6.547
2025-03-06,6.535
2025-03-07,6.526
2025-03-10,6.544
2025-03-11,6.505
2025-03-12,6.526
2025-03-13,6.575
2025-03-14,6.673
2025-03-17,6.677
2025-03-18,6.727
2025-03-19,6.8
2025-03-20,6.807
2025-03-21,6.774
2025-03-24,6.78
2025-03-25,6.774
2025-03-26,6.795
2025-03-27,6.812
2025-03-28,6.938
2025-03-31,7.012
2025-04-01,7.056
2025-04-02,7.029
2025-04-03,7.094
2025-04-07,6.877
2025-04-08,6.925
2025-04-09,7.012
2025-04-10,7.164
2025-04-11,7.273
2025-04-14,7.327
2025-04-15,7.325
2025-04-16,7.503
2025-04-17,7.565
2025-04-18,7.583
2025-04-21,7.724
2025-04-22,7.982
2025-04-23,7.5
2025-04-24,7.582
2025-04-25,7.53
2025-04-28,7.465
2025-04-29,7.517
2025-04-30,7.471
2025-05-06,7.612
2025-05-07,7.671
2025-05-08,7.557
2025-05-09,7.531
2025-05-12,7.376
2025-05-13,7.332
2025-05-14,7.277
2025-05-15,7.062
2025-05-16,7.177
2025-05-19,7.222
2025-05-20,7.209
2025-05-21,7.439
2025-05-22,7.45
2025-05-23,7.454
2025-05-26,7.425
2025-05-27,7.366
2025-05-28,7.375
2025-05-29,7.3
