日期,招商银行
2024-01-02,22.6
2024-01-03,22.79
2024-01-04,22.83
2024-01-05,23.31
2024-01-08,23.15
2024-01-09,23.19
2024-01-10,23.07
2024-01-11,23.4
2024-01-12,23.56
2024-01-15,23.79
2024-01-16,24.15
2024-01-17,24.21
2024-01-18,24.6
2024-01-19,24.75
2024-01-22,25.27
2024-01-23,25.01
2024-01-24,25.11
2024-01-25,25.92
2024-01-26,26.14
2024-01-29,26.37
2024-01-30,26.02
2024-01-31,25.73
2024-02-01,25.44
2024-02-02,25.25
2024-02-05,25.73
2024-02-06,26.35
2024-02-07,26.33
2024-02-08,26.42
2024-02-19,26.64
2024-02-20,26.42
2024-02-21,28.02
2024-02-22,27.82
2024-02-23,27.97
2024-02-26,27.27
2024-02-27,27.2
2024-02-28,27.04
2024-02-29,27.06
2024-03-01,26.96
2024-03-04,26.54
2024-03-05,27.2
2024-03-06,26.89
2024-03-07,27.02
2024-03-08,26.69
2024-03-11,26.5
2024-03-12,26.97
2024-03-13,26.54
2024-03-14,26.27
2024-03-15,26.2
2024-03-18,26.15
2024-03-19,25.82
2024-03-20,26.2
2024-03-21,26.57
2024-03-22,26.22
2024-03-25,26.37
2024-03-26,27.42
2024-03-27,27.32
2024-03-28,27.2
2024-03-29,27.22
2024-04-01,27.66
2024-04-02,27.57
2024-04-03,27.25
2024-04-08,27.42
2024-04-09,27.33
2024-04-10,27.51
2024-04-11,27.32
2024-04-12,27.14
2024-04-15,27.85
2024-04-16,27.77
2024-04-17,28.32
2024-04-18,28.67
2024-04-19,28.64
2024-04-22,28.36
2024-04-23,28.4
2024-04-24,28.48
2024-04-25,29.42
2024-04-26,29.5
2024-04-29,29.9
2024-04-30,29.33
2024-05-06,29.9
2024-05-07,29.89
2024-05-08,29.59
2024-05-09,29.86
2024-05-10,30.64
2024-05-13,30.93
2024-05-14,30.36
2024-05-15,30.07
2024-05-16,31.27
2024-05-17,31.87
2024-05-20,31.4
2024-05-21,31.26
2024-05-22,31.08
2024-05-23,30.52
2024-05-24,29.76
2024-05-27,30.16
2024-05-28,29.85
2024-05-29,29.59
2024-05-30,29.36
2024-05-31,29.3
2024-06-03,29.17
2024-06-04,29.56
2024-06-05,29.01
2024-06-06,29.02
2024-06-07,29.01
2024-06-11,28.38
2024-06-12,28.11
2024-06-13,27.84
2024-06-14,28.83
2024-06-17,28.75
2024-06-18,28.73
2024-06-19,29.17
2024-06-20,29.03
2024-06-21,28.72
2024-06-24,29.09
2024-06-25,29.32
2024-06-26,29.08
2024-06-27,29.28
2024-06-28,29.21
2024-07-01,29.38
2024-07-02,30.1
2024-07-03,29.48
