date,阿里巴巴
2024-01-02,71.14
2024-01-03,72.97
2024-01-04,71.04
2024-01-05,69.39
2024-01-08,69.26
2024-01-09,68.4
2024-01-10,67.79
2024-01-11,68.76
2024-01-12,68.22
2024-01-16,65.84
2024-01-17,65.31
2024-01-18,64.43
2024-01-19,65.8
2024-01-22,65.01
2024-01-23,70.4
2024-01-24,71.58
2024-01-25,70.23
2024-01-26,70.39
2024-01-29,69.96
2024-01-30,68.7
2024-01-31,68.55
2024-02-01,68.84
2024-02-02,68.23
2024-02-05,71.01
2024-02-06,74.61
2024-02-07,70.02
2024-02-08,67.16
2024-02-09,68.4
2024-02-12,69.52
2024-02-13,67.98
2024-02-14,69.77
2024-02-15,70.2
2024-02-16,70.29
2024-02-20,69.52
2024-02-21,71.96
2024-02-22,72.5
2024-02-23,72.34
2024-02-26,72.89
2024-02-27,74.06
2024-02-28,70.97
2024-02-29,70.41
2024-03-01,71.0
2024-03-04,68.38
2024-03-05,68.45
2024-03-06,70.09
2024-03-07,68.92
2024-03-08,69.93
2024-03-11,71.24
2024-03-12,72.44
2024-03-13,72.77
2024-03-14,69.78
2024-03-15,69.8
2024-03-18,69.9
2024-03-19,69.8
2024-03-20,70.56
2024-03-21,70.21
2024-03-22,68.51
2024-03-25,67.84
2024-03-26,67.86
2024-03-27,67.97
2024-03-28,68.74
2024-04-01,69.75
2024-04-02,69.26
2024-04-03,68.82
2024-04-04,68.33
2024-04-05,68.04
2024-04-08,68.09
2024-04-09,69.37
2024-04-10,70.97
2024-04-11,71.23
2024-04-12,67.67
2024-04-15,67.0
2024-04-16,65.99
2024-04-17,65.2
2024-04-18,65.26
2024-04-19,65.45
2024-04-22,67.06
2024-04-23,68.89
2024-04-24,71.01
2024-04-25,71.49
2024-04-26,71.93
2024-04-29,72.79
2024-04-30,71.23
2024-05-01,71.89
2024-05-02,76.71
2024-05-03,77.71
2024-05-06,77.93
2024-05-07,75.75
2024-05-08,74.84
2024-05-09,75.84
2024-05-10,76.42
2024-05-13,80.98
2024-05-14,75.89
2024-05-15,77.37
2024-05-16,83.08
2024-05-17,84.92
2024-05-20,84.66
2024-05-21,82.51
2024-05-22,79.06
2024-05-23,77.18
2024-05-24,77.64
2024-05-28,76.96
2024-05-29,75.44
2024-05-30,76.01
2024-05-31,74.72
2024-06-03,74.28
2024-06-04,74.83
2024-06-05,76.21
2024-06-06,76.39
2024-06-07,74.79
2024-06-10,75.68
2024-06-11,74.28
2024-06-12,74.42
2024-06-13,73.7
2024-06-14,71.37
2024-06-17,72.57
2024-06-18,72.48
2024-06-20,72.37
2024-06-21,71.69
2024-06-24,72.81
2024-06-25,71.81
2024-06-26,72.19
2024-06-27,70.39
2024-06-28,70.02
2024-07-01,70.2
2024-07-02,71.7
2024-07-03,73.59
2024-07-05,72.54
2024-07-08,71.52
2024-07-09,73.72
2024-07-10,74.03
2024-07-11,76.54
2024-07-12,77.67
2024-07-15,76.03
2024-07-16,76.4
2024-07-17,75.06
2024-07-18,74.56
2024-07-19,73.29
2024-07-22,74.66
2024-07-23,74.12
2024-07-24,73.82
2024-07-25,73.42
2024-07-26,74.55
2024-07-29,76.64
2024-07-30,76.02
2024-07-31,76.87
2024-08-01,76.0
2024-08-02,75.47
2024-08-05,75.0
2024-08-06,75.92
2024-08-07,75.85
2024-08-08,78.33
2024-08-09,78.01
2024-08-12,78.93
2024-08-13,79.12
