date,Coke Consolidated
2024-01-02,90.196
2024-01-03,89.1
2024-01-04,88.3
2024-01-05,87.412
2024-01-08,88.165
2024-01-09,88.095
2024-01-10,88.032
2024-01-11,87.796
2024-01-12,87.672
2024-01-16,87.62
2024-01-17,86.01
2024-01-18,82.589
2024-01-19,82.564
2024-01-22,83.59
2024-01-23,83.112
2024-01-24,84.094
2024-01-25,82.359
2024-01-26,82.632
2024-01-29,84.229
2024-01-30,85.222
2024-01-31,84.489
2024-02-01,88.239
2024-02-02,89.301
2024-02-05,88.203
2024-02-06,86.051
2024-02-07,86.688
2024-02-08,86.264
2024-02-09,84.85
2024-02-12,83.818
2024-02-13,83.134
2024-02-14,83.19
2024-02-15,84.809
2024-02-16,82.957
2024-02-20,81.997
2024-02-21,82.51
2024-02-22,79.713
2024-02-23,81.273
2024-02-26,83.146
2024-02-27,81.588
2024-02-28,81.637
2024-02-29,82.43
2024-03-01,81.35
2024-03-04,81.914
2024-03-05,80.749
2024-03-06,79.372
2024-03-07,80.629
2024-03-08,80.857
2024-03-11,80.945
2024-03-12,80.436
2024-03-13,82.349
2024-03-14,82.71
2024-03-15,81.396
2024-03-18,81.71
2024-03-19,82.152
2024-03-20,84.756
2024-03-21,86.771
2024-03-22,85.781
2024-03-25,83.249
2024-03-26,82.35
2024-03-27,82.568
2024-03-28,82.991
2024-04-01,81.971
2024-04-02,80.09
2024-04-03,79.567
2024-04-04,80.31
2024-04-05,81.361
2024-04-08,82.863
2024-04-09,81.909
2024-04-10,79.39
2024-04-11,80.409
2024-04-12,80.037
2024-04-15,79.613
2024-04-16,79.637
2024-04-17,79.514
2024-04-18,78.452
2024-04-19,80.068
2024-04-22,81.415
2024-04-23,81.451
2024-04-24,82.599
2024-04-25,81.548
2024-04-26,80.694
2024-04-29,81.855
2024-04-30,81.05
2024-05-01,81.504
2024-05-02,82.553
2024-05-03,83.79
2024-05-06,84.238
2024-05-07,99.381
2024-05-08,92.931
2024-05-09,93.21
2024-05-10,93.66
2024-05-13,93.651
2024-05-14,93.8
2024-05-15,93.607
2024-05-16,91.692
2024-05-17,92.15
2024-05-20,92.983
2024-05-21,96.567
2024-05-22,98.251
2024-05-23,95.855
2024-05-24,97.715
2024-05-28,97.29
2024-05-29,96.934
2024-05-30,96.72
2024-05-31,96.554
2024-06-03,96.72
2024-06-04,97.089
2024-06-05,98.33
2024-06-06,100.252
2024-06-07,100.553
2024-06-10,99.854
2024-06-11,102.051
2024-06-12,100.869
2024-06-13,99.659
2024-06-14,98.851
2024-06-17,98.618
2024-06-18,100.843
2024-06-20,96.239
2024-06-21,97.981
2024-06-24,101.757
2024-06-25,103.794
2024-06-26,104.717
2024-06-27,105.538
2024-06-28,106.95
2024-07-01,109.45
2024-07-02,108.996
2024-07-03,107.665
2024-07-05,106.203
2024-07-08,107.375
2024-07-09,106.136
2024-07-10,106.71
2024-07-11,106.502
2024-07-12,106.743
2024-07-15,105.082
2024-07-16,106.794
2024-07-17,105.219
2024-07-18,107.365
2024-07-19,107.0
2024-07-22,107.571
2024-07-23,110.037
2024-07-24,108.946
2024-07-25,108.852
2024-07-26,111.565
2024-07-29,109.742
2024-07-30,112.555
2024-07-31,113.089
2024-08-01,122.638
2024-08-02,125.929
2024-08-05,120.059
2024-08-06,124.25
2024-08-07,123.845
2024-08-08,124.483
2024-08-09,124.441
2024-08-12,123.911
2024-08-13,123.916
2024-08-14,124.317
2024-08-15,125.517
2024-08-16,124.6
2024-08-19,125.922
2024-08-20,125.297
2024-08-21,130.629
2024-08-22,134.099
2024-08-23,133.5
2024-08-26,132.475
2024-08-27,131.915
2024-08-28,131.28
2024-08-29,131.08
2024-08-30,132.74
2024-09-03,131.384
2024-09-04,133.745
2024-09-05,133.338
2024-09-06,131.49
2024-09-09,133.583
2024-09-10,127.256
2024-09-11,126.288
2024-09-12,125.609
2024-09-13,128.196
2024-09-16,126.539
2024-09-17,124.636
2024-09-18,125.062
2024-09-19,125.198
2024-09-20,124.925
2024-09-23,129.903
2024-09-24,127.899
2024-09-25,128.058
2024-09-26,127.141
2024-09-27,128.096
2024-09-30,130.14
2024-10-01,129.357
2024-10-02,128.002
2024-10-03,125.783
2024-10-04,127.709
2024-10-07,124.228
2024-10-08,126.361
2024-10-09,126.146
2024-10-10,125.2
2024-10-11,126.791
2024-10-14,128.658
2024-10-15,128.97
