date,京东
2024-01-02,25.48
2024-01-03,25.75
2024-01-04,25.44
2024-01-05,24.96
2024-01-08,24.24
2024-01-09,23.6
2024-01-10,23.56
2024-01-11,23.67
2024-01-12,22.98
2024-01-16,21.86
2024-01-17,20.7
2024-01-18,20.3
2024-01-19,20.57
2024-01-22,19.94
2024-01-23,21.5
2024-01-24,21.88
2024-01-25,22.21
2024-01-26,22.14
2024-01-29,21.74
2024-01-30,21.03
2024-01-31,20.83
2024-02-01,20.5
2024-02-02,20.06
2024-02-05,20.67
2024-02-06,22.39
2024-02-07,21.33
2024-02-08,20.33
2024-02-09,20.66
2024-02-12,21.17
2024-02-13,20.41
2024-02-14,21.42
2024-02-15,21.84
2024-02-16,22.5
2024-02-20,21.51
2024-02-21,22.07
2024-02-22,22.24
2024-02-23,22.18
2024-02-26,21.98
2024-02-27,22.36
2024-02-28,21.09
2024-02-29,20.9
2024-03-01,21.28
2024-03-04,20.16
2024-03-05,19.72
2024-03-06,23.19
2024-03-07,22.27
2024-03-08,23.03
2024-03-11,24.35
2024-03-12,25.65
2024-03-13,26.29
2024-03-14,25.33
2024-03-15,25.73
2024-03-18,26.13
2024-03-19,25.87
2024-03-20,26.42
2024-03-21,25.33
2024-03-22,24.78
2024-03-25,25.08
2024-03-26,24.64
2024-03-27,25.51
2024-03-28,25.67
2024-04-01,26.04
2024-04-02,26.09
2024-04-03,25.55
2024-04-04,25.14
2024-04-05,25.04
2024-04-08,24.96
2024-04-09,25.72
2024-04-10,25.69
2024-04-11,26.01
2024-04-12,24.41
2024-04-15,24.44
2024-04-16,24.08
2024-04-17,24.17
2024-04-18,24.48
2024-04-19,24.53
2024-04-22,26.01
2024-04-23,26.57
2024-04-24,27.29
2024-04-25,27.61
2024-04-26,29.36
2024-04-29,28.91
2024-04-30,27.91
2024-05-01,28.29
2024-05-02,31.66
2024-05-03,31.89
2024-05-06,31.73
2024-05-07,31.15
2024-05-08,30.97
2024-05-09,31.39
2024-05-10,31.22
2024-05-13,32.8
2024-05-14,32.37
2024-05-15,32.64
2024-05-16,33.29
2024-05-17,34.29
2024-05-20,33.77
2024-05-21,32.31
2024-05-22,31.7
2024-05-23,30.22
2024-05-24,29.29
2024-05-28,28.91
2024-05-29,28.34
2024-05-30,29.23
2024-05-31,28.64
2024-06-03,28.92
2024-06-04,29.09
2024-06-05,29.61
2024-06-06,28.79
2024-06-07,28.35
2024-06-10,28.61
2024-06-11,28.43
2024-06-12,28.58
2024-06-13,28.42
2024-06-14,27.79
2024-06-17,28.26
2024-06-18,28.07
2024-06-20,27.7
2024-06-21,27.12
2024-06-24,27.38
2024-06-25,26.59
2024-06-26,26.53
2024-06-27,25.28
2024-06-28,24.86
2024-07-01,24.81
2024-07-02,25.11
2024-07-03,25.89
2024-07-05,25.78
2024-07-08,25.49
2024-07-09,25.84
2024-07-10,25.78
2024-07-11,27.65
2024-07-12,27.17
2024-07-15,25.67
2024-07-16,26.22
2024-07-17,26.0
2024-07-18,25.3
2024-07-19,25.28
2024-07-22,25.87
2024-07-23,25.21
2024-07-24,24.78
2024-07-25,25.35
2024-07-26,25.58
2024-07-29,25.63
2024-07-30,25.38
2024-07-31,25.41
2024-08-01,24.26
2024-08-02,24.18
2024-08-05,23.97
2024-08-06,24.47
2024-08-07,24.35
2024-08-08,25.0
2024-08-09,24.9
2024-08-12,25.09
2024-08-13,25.15
2024-08-14,24.92
2024-08-15,26.02
2024-08-16,28.31
2024-08-19,28.55
2024-08-20,27.21
2024-08-21,26.055
2024-08-22,25.66
2024-08-23,25.85
2024-08-26,24.82
2024-08-27,25.4
2024-08-28,24.96
2024-08-29,25.39
2024-08-30,26.02
2024-09-03,25.72
2024-09-04,25.85
2024-09-05,25.4
2024-09-06,25.09
2024-09-09,24.91
2024-09-10,25.0
2024-09-11,25.58
2024-09-12,25.67
2024-09-13,25.26
2024-09-16,25.32
2024-09-17,25.94
2024-09-18,25.94
2024-09-19,27.76
2024-09-20,27.57
2024-09-23,28.78
2024-09-24,32.92
2024-09-25,32.23
2024-09-26,37.01
2024-09-27,38.92
2024-09-30,39.02
2024-10-01,41.95
2024-10-02,43.82
2024-10-03,43.62
2024-10-04,45.99
