date,可口可乐
2024-01-02,55.84
2024-01-03,55.98
2024-01-04,55.78
2024-01-05,55.69
2024-01-08,56.13
2024-01-09,56.02
2024-01-10,56.22
2024-01-11,55.83
2024-01-12,56.41
2024-01-16,56.01
2024-01-17,56.01
2024-01-18,56.18
2024-01-19,55.85
2024-01-22,55.59
2024-01-23,55.87
2024-01-24,54.93
2024-01-25,55.18
2024-01-26,55.39
2024-01-29,55.75
2024-01-30,55.92
2024-01-31,55.51
2024-02-01,57.0
2024-02-02,56.56
2024-02-05,56.06
2024-02-06,55.96
2024-02-07,56.01
2024-02-08,55.85
2024-02-09,55.58
2024-02-12,55.72
2024-02-13,55.37
2024-02-14,55.31
2024-02-15,55.42
2024-02-16,55.41
2024-02-20,56.72
2024-02-21,57.26
2024-02-22,57.17
2024-02-23,57.22
2024-02-26,56.73
2024-02-27,56.36
2024-02-28,56.42
2024-02-29,56.04
2024-03-01,55.55
2024-03-04,55.83
2024-03-05,55.54
2024-03-06,55.57
2024-03-07,55.46
2024-03-08,55.54
2024-03-11,56.26
2024-03-12,56.52
2024-03-13,57.14
2024-03-14,57.005
2024-03-15,56.385
2024-03-18,56.635
2024-03-19,56.735
2024-03-20,57.255
2024-03-21,56.975
2024-03-22,56.995
2024-03-25,56.905
2024-03-26,57.045
2024-03-27,57.535
2024-03-28,57.685
2024-04-01,57.185
2024-04-02,56.655
2024-04-03,56.335
2024-04-04,55.805
2024-04-05,56.015
2024-04-08,55.775
2024-04-09,56.225
2024-04-10,55.425
2024-04-11,55.555
2024-04-12,54.785
2024-04-15,54.645
2024-04-16,54.565
2024-04-17,55.015
2024-04-18,55.415
2024-04-19,56.675
2024-04-22,57.055
2024-04-23,57.145
2024-04-24,58.055
2024-04-25,58.245
2024-04-26,58.245
2024-04-29,58.545
2024-04-30,58.275
2024-05-01,58.435
2024-05-02,58.495
2024-05-03,58.675
2024-05-06,58.855
2024-05-07,59.125
2024-05-08,59.355
2024-05-09,59.385
2024-05-10,59.765
2024-05-13,60.085
2024-05-14,59.605
2024-05-15,59.635
2024-05-16,59.825
2024-05-17,59.535
2024-05-20,59.075
2024-05-21,59.415
2024-05-22,59.505
2024-05-23,58.595
2024-05-24,58.505
2024-05-28,58.325
2024-05-29,58.205
2024-05-30,58.475
2024-05-31,59.435
2024-06-03,59.435
2024-06-04,60.445
2024-06-05,60.425
2024-06-06,60.655
2024-06-07,60.415
2024-06-10,60.095
2024-06-11,60.055
2024-06-12,59.385
2024-06-13,59.495
2024-06-14,59.54
2024-06-17,59.61
2024-06-18,59.62
2024-06-20,59.17
2024-06-21,59.76
2024-06-24,60.96
2024-06-25,60.83
